Gender,What is your current level of study?,Which type of clothing do you prefer the most?,What do you usually  prefer  to wear for college use?,Does your college have a uniform policy?,How often you buy clothes ?,Which shopping method do you prefer?,what do you prefer in this for shopping ?,What price range do you prefer per clothing item?,What is your average spending ? (per year),Are discounts and offers important while purchasing clothes?,How confident are you while selecting clothes without assistance?,What is the main reason for regret ?,"Do you take opinions  before purchasing, if yes whose opinion?",What makes you trust a fashion brand or platform?,Which factor would make you buy a brand more frequently?,"Is there anything you would like to share about your fashion choices, shopping experience, or challenges you face while buying clothes?",average_spending,clean_feedback,cluster,feedback_sentiment
female,mba,casual wear,formals,yes,1-2 months,both,"better prices, try before buying",below ₹500,16499,yes,very confident,quality issues,friends,reviews,better prices,,16499.0,,2,Neutral
female,mba,ethnic wear,jeans & t-shirts,yes,1-2 months,both,"better prices, try before buying",above ₹2000,17891,yes,very confident,no regret,friends,reviews,better prices,no,17891.0,,2,Negative
female,b.tech / b.e,ethnic wear,casual wear,no,1-2 months,both,"better prices, try before buying",above ₹2000,23713,yes,very confident,different from images,friends,reviews,better prices,no,23713.0,,0,Negative
female,m.tech / m.e,casual wear,mixed,no,1-2 months,online shopping,"more variety, convenience",above ₹2000,27274,yes,very confident,different from images,friends,reviews,better prices,,27274.0,,1,Neutral
female,mbbs / medical,ethnic wear,casual wear,yes,on festival,both,"better prices, try before buying",₹500 – ₹1000,17142,yes,very confident,different from images,friends,reviews,better prices,,17142.0,,2,Neutral
female,b.tech / b.e,casual wear,jeans & t-shirts,no,1-2 months,both,"better prices, try before buying",above ₹2000,20293,yes,very confident,price not worth it,friends,reviews,better prices,no,20293.0,,0,Negative
female,b.tech / b.e,casual wear,casual wear,no,1-2 months,both,"better prices, try before buying",₹500 – ₹1000,29488,yes,very confident,different from images,friends,reviews,better prices,,29488.0,,1,Neutral
female,b.tech / b.e,casual wear,casual wear,no,1-2 months,online shopping,"more variety, convenience",₹1001 – ₹2000,20142,yes,very confident,poor fit,friends,reviews,better prices,nothing,20142.0,nothing,0,Neutral
female,mba,casual wear,mixed,yes,1-2 months,online shopping,"more variety, convenience",₹1001 – ₹2000,15758,yes,very confident,price not worth it,friends,reviews,better prices,,15758.0,,2,Neutral
female,mbbs / medical,casual wear,casual wear,yes,on festival,online shopping,"more variety, convenience",below ₹500,14035,yes,very confident,poor fit,friends,reviews,better prices,"i like wearing comfortable clothes more than trendy ones.
comfort is more important to me than brand names.",14035.0,like wearing comfortable clothes trendy one comfort important brand name,2,Positive
female,mba,ethnic wear,mixed,no,1-2 months,online shopping,"more variety, convenience",₹1001 – ₹2000,24514,yes,very confident,quality issues,friends,reviews,better prices,,24514.0,,0,Neutral
female,diploma,ethnic wear,casual wear,yes,on festival,online shopping,"more variety, convenience",₹1001 – ₹2000,14378,yes,very confident,poor fit,friends,reviews,better prices,nothing,14378.0,nothing,2,Neutral
female,diploma,casual wear,jeans & t-shirts,yes,on festival,both,"better prices, try before buying",₹500 – ₹1000,19481,yes,very confident,quality issues,friends,reviews,better prices,no,19481.0,,0,Negative
female,b.tech / b.e,casual wear,jeans & t-shirts,yes,1-2 months,both,"better prices, try before buying",₹1001 – ₹2000,16494,yes,very confident,quality issues,friends,reviews,better prices,,16494.0,,2,Neutral
female,b.tech / b.e,ethnic wear,casual wear,no,1-2 months,both,"better prices, try before buying",below ₹500,25513,yes,very confident,quality issues,friends,reviews,better prices,,25513.0,,1,Neutral
female,m.tech / m.e,casual wear,formals,no,1-2 months,online shopping,"more variety, convenience",₹1001 – ₹2000,24198,yes,very confident,no regret,friends,reviews,better prices,,24198.0,,0,Neutral
female,b.tech / b.e,casual wear,formals,no,1-2 months,online shopping,"more variety, convenience",₹1001 – ₹2000,27530,yes,very confident,price not worth it,friends,reviews,better prices,,27530.0,,1,Neutral
female,m.tech / m.e,casual wear,mixed,no,1-2 months,online shopping,"more variety, convenience",₹500 – ₹1000,29412,yes,very confident,quality issues,friends,reviews,better prices,no,29412.0,,1,Negative
female,b.tech / b.e,casual wear,mixed,yes,1-2 months,online shopping,"more variety, convenience",above ₹2000,17888,yes,very confident,price not worth it,friends,reviews,better prices,feel the satisfaction and confidence in your body.,17888.0,feel satisfaction confidence body,2,Positive
female,b.tech / b.e,casual wear,casual wear,no,1-2 months,online shopping,"more variety, convenience",above ₹2000,28978,yes,very confident,no regret,friends,reviews,better prices,nothing,28978.0,nothing,1,Neutral
female,diploma,ethnic wear,mixed,yes,on festival,online shopping,"more variety, convenience",₹500 – ₹1000,19435,yes,very confident,price not worth it,friends,reviews,better prices,,19435.0,,0,Neutral
female,mbbs / medical,casual wear,casual wear,yes,on festival,online shopping,"more variety, convenience",₹1001 – ₹2000,19181,yes,very confident,quality issues,friends,reviews,better prices,nothing,19181.0,nothing,0,Neutral
female,b.tech / b.e,casual wear,casual wear,yes,1-2 months,online shopping,"more variety, convenience",₹1001 – ₹2000,18044,yes,very confident,price not worth it,friends,reviews,better prices,no,18044.0,,2,Negative
female,post-graduate,casual wear,casual wear,no,2-3 weeks,both,"better prices, try before buying",₹1001 – ₹2000,22575,yes,very confident,no regret,friends,reviews,better prices,,22575.0,,0,Neutral
female,mbbs / medical,casual wear,casual wear,yes,on festival,both,"better prices, try before buying",₹1001 – ₹2000,17826,yes,very confident,quality issues,friends,reviews,better prices,,17826.0,,2,Neutral
male,b.tech / b.e,sports wear,casual wear,no,1-2 months,offline shopping,"better prices, try before buying",₹500 – ₹1000,23072,sometimes,very confident,quality issues,friends,quality assurance,better quality,,23072.0,,0,Neutral
female,b.tech / b.e,casual wear,mixed,no,1-2 months,online shopping,"more variety, convenience",above ₹2000,28606,yes,very confident,different from images,friends,reviews,better prices,nothing else.,28606.0,nothing else,1,Neutral
male,mbbs / medical,formal wear,jeans & t-shirts,yes,on festival,offline shopping,"better prices, try before buying",below ₹500,15997,sometimes,very confident,poor fit,friends,quality assurance,better quality,,15997.0,,2,Neutral
male,mbbs / medical,casual wear,casual wear,no,on festival,offline shopping,"better prices, try before buying",₹1001 – ₹2000,25912,sometimes,very confident,different from images,friends,quality assurance,better quality,,25912.0,,1,Neutral
male,diploma,casual wear,casual wear,yes,on festival,both,"better prices, try before buying",₹500 – ₹1000,16079,no,very confident,no regret,friends,quality assurance,better quality,,16079.0,,2,Neutral
female,mbbs / medical,casual wear,jeans & t-shirts,yes,2-3 weeks,online shopping,"more variety, convenience",below ₹500,14383,yes,very confident,price not worth it,friends,reviews,better prices,,14383.0,,2,Neutral
female,m.tech / m.e,casual wear,casual wear,no,1-2 months,online shopping,"more variety, convenience",₹500 – ₹1000,20379,yes,very confident,different from images,friends,reviews,better prices,,20379.0,,0,Neutral
female,m.tech / m.e,casual wear,casual wear,no,1-2 months,both,"better prices, try before buying",₹1001 – ₹2000,23102,yes,very confident,different from images,friends,reviews,better prices,.,23102.0,,0,Neutral
male,b.tech / b.e,casual wear,casual wear,no,1-2 months,both,"better prices, try before buying",₹1001 – ₹2000,27807,sometimes,very confident,quality issues,friends,quality assurance,better quality,,27807.0,,1,Neutral
male,m.tech / m.e,sports wear,casual wear,no,1-2 months,offline shopping,"better prices, try before buying",₹500 – ₹1000,26883,yes,very confident,price not worth it,friends,quality assurance,better quality,,26883.0,,1,Neutral
male,diploma,sports wear,casual wear,no,on festival,offline shopping,"better prices, try before buying",₹1001 – ₹2000,25192,yes,very confident,different from images,friends,quality assurance,better quality,wear what makes you comfortable and makes you to feel confident,25192.0,wear make comfortable make feel confident,1,Positive
male,mba,formal wear,mixed,yes,1-2 months,offline shopping,"better prices, try before buying",₹1001 – ₹2000,15204,yes,very confident,quality issues,friends,quality assurance,better quality,,15204.0,,2,Neutral
female,mba,casual wear,casual wear,yes,1-2 months,online shopping,"more variety, convenience",below ₹500,18360,yes,very confident,no regret,friends,reviews,better prices,du du du du max verstappen,18360.0,max verstappen,0,Neutral
male,mba,formal wear,formals,yes,1-2 months,offline shopping,"better prices, try before buying",₹500 – ₹1000,16655,no,very confident,price not worth it,friends,quality assurance,better quality,,16655.0,,2,Neutral
male,b.tech / b.e,formal wear,mixed,no,1-2 months,both,"better prices, try before buying",above ₹2000,26986,yes,very confident,poor fit,friends,quality assurance,better quality,take your time to shop don't rush,26986.0,take time shop dont rush,1,Neutral
female,m.tech / m.e,ethnic wear,mixed,yes,1-2 months,online shopping,"more variety, convenience",below ₹500,17740,yes,very confident,quality issues,friends,reviews,better prices,,17740.0,,2,Neutral
male,m.tech / m.e,casual wear,casual wear,no,1-2 months,both,"better prices, try before buying",below ₹500,24988,sometimes,very confident,quality issues,friends,quality assurance,better quality,less variety,24988.0,le variety,1,Neutral
male,b.tech / b.e,sports wear,casual wear,no,1-2 months,both,"better prices, try before buying",below ₹500,19564,no,very confident,no regret,friends,quality assurance,better quality,,19564.0,,0,Neutral
female,mba,casual wear,formals,no,1-2 months,both,"better prices, try before buying",below ₹500,27887,yes,very confident,poor fit,friends,reviews,better prices,nothing,27887.0,nothing,1,Neutral
female,m.tech / m.e,casual wear,casual wear,no,1-2 months,online shopping,"more variety, convenience",₹500 – ₹1000,25096,yes,very confident,price not worth it,friends,reviews,better prices,,25096.0,,1,Neutral
female,b.tech / b.e,casual wear,casual wear,no,1-2 months,both,"better prices, try before buying",₹1001 – ₹2000,21835,yes,very confident,quality issues,friends,reviews,better prices,,21835.0,,0,Neutral
female,m.tech / m.e,casual wear,casual wear,yes,1-2 months,online shopping,"more variety, convenience",₹500 – ₹1000,18838,yes,very confident,quality issues,friends,reviews,better prices,"fake websites, no return policies",18838.0,fake website return policy,0,Negative
female,mbbs / medical,casual wear,casual wear,yes,2-3 weeks,online shopping,"more variety, convenience",below ₹500,17061,yes,very confident,price not worth it,friends,reviews,better prices,,17061.0,,2,Neutral
female,b.tech / b.e,casual wear,jeans & t-shirts,yes,1-2 months,both,"better prices, try before buying",₹500 – ₹1000,19864,yes,very confident,quality issues,friends,reviews,better prices,-,19864.0,,0,Neutral
female,m.tech / m.e,casual wear,formals,no,1-2 months,both,"better prices, try before buying",above ₹2000,23380,yes,very confident,price not worth it,friends,reviews,better prices,good quality and more mixed fashion,23380.0,good quality mixed fashion,0,Positive
female,b.tech / b.e,casual wear,casual wear,yes,1-2 months,online shopping,"more variety, convenience",above ₹2000,16884,yes,very confident,different from images,friends,reviews,better prices,,16884.0,,2,Neutral
female,b.tech / b.e,casual wear,jeans & t-shirts,no,1-2 months,online shopping,"more variety, convenience",₹1001 – ₹2000,25375,yes,very confident,no regret,friends,reviews,better prices,,25375.0,,1,Neutral
female,b.tech / b.e,casual wear,mixed,no,1-2 months,online shopping,"more variety, convenience",₹500 – ₹1000,21449,yes,very confident,no regret,friends,reviews,better prices,,21449.0,,0,Neutral
female,post-graduate,casual wear,mixed,no,2-3 weeks,both,"better prices, try before buying",₹500 – ₹1000,25113,yes,very confident,poor fit,friends,reviews,better prices,no,25113.0,,1,Negative
female,m.tech / m.e,casual wear,casual wear,yes,1-2 months,online shopping,"more variety, convenience",₹500 – ₹1000,15725,yes,very confident,quality issues,friends,reviews,better prices,,15725.0,,2,Neutral
female,m.tech / m.e,casual wear,casual wear,yes,1-2 months,both,"better prices, try before buying",₹1001 – ₹2000,14961,yes,very confident,different from images,friends,reviews,better prices,,14961.0,,2,Neutral
male,diploma,formal wear,mixed,yes,on festival,offline shopping,"better prices, try before buying",above ₹2000,12692,yes,very confident,price not worth it,friends,quality assurance,better quality,,12692.0,,2,Neutral
female,b.tech / b.e,casual wear,casual wear,no,1-2 months,both,"better prices, try before buying",below ₹500,22799,yes,very confident,no regret,friends,reviews,better prices,no,22799.0,,0,Negative
male,mba,sports wear,formals,yes,1-2 months,both,"better prices, try before buying",above ₹2000,15404,sometimes,very confident,price not worth it,friends,quality assurance,better quality,nothing..,15404.0,nothing,2,Neutral
female,diploma,casual wear,jeans & t-shirts,yes,on festival,online shopping,"more variety, convenience",₹500 – ₹1000,14184,yes,very confident,no regret,friends,reviews,better prices,,14184.0,,2,Neutral
female,diploma,casual wear,jeans & t-shirts,yes,on festival,both,"better prices, try before buying",₹500 – ₹1000,17704,yes,very confident,quality issues,friends,reviews,better prices,no.,17704.0,,2,Negative
male,b.tech / b.e,casual wear,jeans & t-shirts,yes,1-2 months,offline shopping,"better prices, try before buying",₹1001 – ₹2000,15563,sometimes,very confident,quality issues,friends,quality assurance,better quality,yes,15563.0,yes,2,Positive
female,mbbs / medical,casual wear,casual wear,yes,2-3 weeks,online shopping,"more variety, convenience",₹500 – ₹1000,16884,yes,very confident,quality issues,friends,reviews,better prices,,16884.0,,2,Neutral
male,mbbs / medical,formal wear,casual wear,no,on festival,both,"better prices, try before buying",above ₹2000,28178,yes,very confident,no regret,friends,quality assurance,better quality,,28178.0,,1,Neutral
female,b.tech / b.e,ethnic wear,formals,no,1-2 months,online shopping,"more variety, convenience",₹1001 – ₹2000,28494,yes,very confident,price not worth it,friends,reviews,better prices,yes,28494.0,yes,1,Positive
male,m.tech / m.e,sports wear,casual wear,no,1-2 months,offline shopping,"better prices, try before buying",₹1001 – ₹2000,25975,yes,very confident,price not worth it,friends,quality assurance,better quality,no thank u 🤗,25975.0,thank,1,Positive
female,post-graduate,casual wear,casual wear,no,2-3 weeks,both,"better prices, try before buying",above ₹2000,22363,yes,very confident,poor fit,friends,reviews,better prices,,22363.0,,0,Neutral
female,mba,casual wear,casual wear,yes,1-2 months,online shopping,"more variety, convenience",below ₹500,18663,yes,very confident,different from images,friends,reviews,better prices,,18663.0,,0,Neutral
male,m.tech / m.e,formal wear,formals,no,1-2 months,offline shopping,"better prices, try before buying",below ₹500,26985,yes,very confident,different from images,friends,quality assurance,better quality,,26985.0,,1,Neutral
female,post-graduate,casual wear,formals,no,2-3 weeks,online shopping,"more variety, convenience",₹1001 – ₹2000,24335,yes,very confident,price not worth it,friends,reviews,better prices,no,24335.0,,0,Negative
female,b.tech / b.e,casual wear,mixed,no,1-2 months,both,"better prices, try before buying",₹1001 – ₹2000,22560,yes,very confident,quality issues,friends,reviews,better prices,,22560.0,,0,Neutral
female,b.tech / b.e,casual wear,casual wear,no,1-2 months,both,"better prices, try before buying",₹1001 – ₹2000,24620,yes,very confident,quality issues,friends,reviews,better prices,,24620.0,,0,Neutral
female,post-graduate,ethnic wear,casual wear,no,2-3 weeks,online shopping,"more variety, convenience",₹1001 – ₹2000,28875,yes,very confident,poor fit,friends,reviews,better prices,no,28875.0,,1,Negative
female,post-graduate,ethnic wear,casual wear,no,2-3 weeks,both,"better prices, try before buying",below ₹500,25011,yes,very confident,different from images,friends,reviews,better prices,no,25011.0,,1,Negative
female,b.tech / b.e,casual wear,mixed,yes,1-2 months,online shopping,"more variety, convenience",above ₹2000,18419,yes,very confident,poor fit,friends,reviews,better prices,,18419.0,,0,Neutral
female,b.tech / b.e,casual wear,casual wear,no,1-2 months,both,"better prices, try before buying",₹500 – ₹1000,21362,yes,very confident,price not worth it,friends,reviews,better prices,no,21362.0,,0,Negative
male,mbbs / medical,casual wear,casual wear,yes,on festival,offline shopping,"better prices, try before buying",₹1001 – ₹2000,15836,no,very confident,quality issues,friends,quality assurance,better quality,"i also look for comfort, better quality and prices. i choose unique colours/fabrics. i do face some challenges with fit and size.",15836.0,also look comfort better quality price choose unique coloursfabrics face challenge fit size,2,Positive
male,b.tech / b.e,casual wear,jeans & t-shirts,no,1-2 months,offline shopping,"better prices, try before buying",₹1001 – ₹2000,20038,yes,very confident,price not worth it,friends,quality assurance,better quality,no,20038.0,,0,Negative
female,b.tech / b.e,ethnic wear,casual wear,no,1-2 months,both,"better prices, try before buying",below ₹500,22987,yes,very confident,no regret,friends,reviews,better prices,not having efficient stock on a particular outfit,22987.0,efficient stock particular outfit,0,Negative
female,b.tech / b.e,casual wear,casual wear,no,1-2 months,online shopping,"more variety, convenience",above ₹2000,27084,yes,very confident,price not worth it,friends,reviews,better prices,,27084.0,,1,Neutral
female,mba,casual wear,mixed,no,1-2 months,both,"better prices, try before buying",above ₹2000,20841,yes,very confident,price not worth it,friends,reviews,better prices,dk,20841.0,,0,Neutral
female,b.tech / b.e,ethnic wear,casual wear,yes,1-2 months,both,"better prices, try before buying",₹500 – ₹1000,14157,yes,very confident,no regret,friends,reviews,better prices,good,14157.0,good,2,Positive
female,mbbs / medical,casual wear,casual wear,yes,2-3 weeks,both,"better prices, try before buying",above ₹2000,15566,yes,very confident,price not worth it,friends,reviews,better prices,no,15566.0,,2,Negative
female,m.tech / m.e,casual wear,casual wear,yes,1-2 months,online shopping,"more variety, convenience",below ₹500,17228,yes,very confident,poor fit,friends,reviews,better prices,,17228.0,,2,Neutral
male,post-graduate,formal wear,casual wear,no,2-3 weeks,offline shopping,"better prices, try before buying",₹500 – ₹1000,27891,no,very confident,different from images,friends,quality assurance,better quality,,27891.0,,1,Neutral
male,b.tech / b.e,formal wear,casual wear,no,1-2 months,offline shopping,"better prices, try before buying",₹1001 – ₹2000,27157,sometimes,very confident,quality issues,friends,quality assurance,better quality,,27157.0,,1,Neutral
female,b.tech / b.e,casual wear,jeans & t-shirts,yes,1-2 months,online shopping,"more variety, convenience",below ₹500,16942,yes,very confident,different from images,friends,reviews,better prices,nothing much,16942.0,nothing much,2,Neutral
male,b.tech / b.e,casual wear,casual wear,no,1-2 months,both,"better prices, try before buying",above ₹2000,17444,sometimes,very confident,poor fit,friends,quality assurance,better quality,,17444.0,,2,Neutral
female,b.tech / b.e,casual wear,mixed,no,1-2 months,both,"better prices, try before buying",below ₹500,26423,yes,very confident,different from images,friends,reviews,better prices,,26423.0,,1,Neutral
female,m.tech / m.e,casual wear,casual wear,no,1-2 months,both,"better prices, try before buying",₹1001 – ₹2000,28457,yes,very confident,no regret,friends,reviews,better prices,,28457.0,,1,Neutral
female,b.tech / b.e,casual wear,casual wear,no,1-2 months,online shopping,"more variety, convenience",above ₹2000,24069,yes,very confident,poor fit,friends,reviews,better prices,,24069.0,,0,Neutral
female,diploma,casual wear,casual wear,yes,on festival,both,"better prices, try before buying",₹1001 – ₹2000,14666,yes,very confident,different from images,friends,reviews,better prices,,14666.0,,2,Neutral
male,mba,formal wear,mixed,yes,1-2 months,both,"better prices, try before buying",below ₹500,12671,no,very confident,quality issues,friends,quality assurance,better quality,ha,12671.0,,2,Positive
